variable df_tatum_games_all holds the following data frame for every game of Jayson Tatum's career up to this point.


SEASON_ID	Player_ID	Game_ID	GAME_DATE	MATCHUP	WL	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	PLUS_MINUS	VIDEO_AVAILABLE
0	22019	1628369	0021901301	AUG 11, 2020	BOS @ MEM	W	29	10	13	0.769	4	5	0.8	5	5	1.0	1	5	6	2	1	0	5	1	29	10	1
1	22019	1628369	0021901288	AUG 09, 2020	BOS vs. ORL	W	42	10	24	0.417	4	12	0.333	5	6	0.833	1	8	9	6	1	1	4	2	29	14	1
2	22019	1628369	0021901279	AUG 07, 2020	BOS @ TOR	W	28	7	14	0.5	2	7	0.286	2	3	0.667	0	7	7	4	2	0	3	0	18	34	1
3	22019	1628369	0021901267	AUG 05, 2020	BOS vs. BKN	W	18	7	11	0.636	5	8	0.625	0	0	0.0	0	2	2	2	1	0	3	3	19	8	1
4	22019	1628369	0021901260	AUG 04, 2020	BOS @ MIA	L	33	6	11	0.545	2	5	0.4	9	9	1.0	1	6	7	1	1	1	4	5	23	1	1
5	22019	1628369	0021901245	AUG 02, 2020	BOS vs. POR	W	40	11	22	0.5	5	8	0.625	7	9	0.778	0	4	4	8	2	1	2	1	34	6	1
6	22019	1628369	0021901236	JUL 31, 2020	BOS @ MIL	L	32	2	18	0.111	0	4	0.0	1	2	0.5	4	3	7	3	2	1	2	3	5	-13	1
7	22019	1628369	0021900960	MAR 10, 2020	BOS @ IND	W	36	11	22	0.5	3	9	0.333	5	6	0.833	1	5	6	2	4	0	0	1	30	5	1
8	22019	1628369	0021900949	MAR 08, 2020	BOS vs. OKC	L	38	8	22	0.364	3	7	0.429	0	1	0.0	0	5	5	3	2	1	3	4	19	-16	1
9	22019	1628369	0021900933	MAR 06, 2020	BOS vs. UTA	L	33	7	19	0.368	2	5	0.4	2	4	0.5	0	7	7	3	2	0	3	2	18	12	1
10	22019	1628369	0021900917	MAR 04, 2020	BOS @ CLE	W	40	11	24	0.458	5	10	0.5	5	7	0.714	0	9	9	6	2	1	4	1	32	7	1
11	22019	1628369	0021900892	FEB 29, 2020	BOS vs. HOU	L	45	9	27	0.333	4	12	0.333	10	14	0.714	2	11	13	5	2	2	5	2	32	-5	1
12	22019	1628369	0021900872	FEB 26, 2020	BOS @ UTA	W	38	13	20	0.65	3	5	0.6	4	5	0.8	0	11	11	3	0	0	2	0	33	8	1
13	22019	1628369	0021900862	FEB 25, 2020	BOS @ POR	W	34	14	22	0.636	8	12	0.667	0	0	0.0	0	4	4	1	0	2	2	1	36	22	1
14	22019	1628369	0021900842	FEB 23, 2020	BOS @ LAL	L	37	12	20	0.6	4	7	0.571	13	15	0.867	1	4	5	2	1	2	2	3	41	6	1
